short_name,long_name,overall,potential,value,positions,position,nationality,age,height,weight,club,wage,release,club_position,end,jersey number,start,foot,national_position,national_number
H. Son,Heung Min Son,89,89,101000000,"LW,LM",LW,Korea Republic,29,183,78,Tottenham Hotspur,240000,191900000,LW,2025,7,2015,Right,-,-
Casemiro,Carlos Henrique Venancio Casimiro,89,89,86000000,CDM,CDM,Brazil,30,185,84,Manchester United,240000,163400000,SUB,2026,18,2022,Right,-,-
J. Oblak,Jan Oblak,89,91,85500000,GK,GK,Slovenia,29,188,87,Atlético de Madrid,100000,181700000,GK,2023,13,2014,Right,-,-
S. Mané,Sadio Mané,89,89,99500000,"LM,CF",LM,Senegal,30,174,69,FC Bayern München,145000,164200000,ST,2025,17,2022,Right,-,-
Ederson,Ederson Santana de Moraes,89,91,88000000,GK,GK,Brazil,28,188,86,Manchester City,210000,169400000,GK,2026,31,2017,Left,-,-
J. Kimmich,Joshua Kimmich,89,90,105500000,"CDM,RB",CDM,Germany,27,177,75,FC Bayern München,130000,182000000,CDM,2025,6,2015,Right,CDM,6
Alisson,Alisson Ramses Becker,89,90,79000000,GK,GK,Brazil,29,191,91,Liverpool,190000,152100000,GK,2027,1,2018,Right,-,-
N. Kanté,N'Golo Kanté,89,89,72000000,"CDM,CM",CDM,France,31,168,70,Chelsea,220000,133199999,CM,2023,7,2016,Right,CDM,13
Rúben Dias,Rúben Santos Gato Alves Dias,88,91,107500000,CB,CB,Portugal,25,187,82,Manchester City,230000,206900000,CB,2027,3,2020,Right,CB,4
E. Haaland,Erling Haaland,88,94,148000000,ST,ST,Norway,21,195,94,Manchester City,220000,303400000,ST,2027,9,2022,Left,ST,9
G. Donnarumma,Gianluigi Donnarumma,88,92,103500000,GK,GK,Italy,23,196,90,Paris Saint-Germain,110000,199200000,GK,2026,99,2021,Right,GK,21
Bernardo Silva,Bernardo Mota Carvalho e Silva,88,88,97500000,"CAM,CM",CAM,Portugal,27,173,64,Manchester City,260000,180400000,RW,2025,20,2017,Left,CM,10
João Cancelo,João Pedro Cavaco Cancelo,88,88,82500000,"LB,RB",LB,Portugal,28,182,74,Manchester City,250000,152600000,LB,2027,7,2019,Right,RB,20
Marquinhos,Marcos Aoás Corrêa,88,90,92000000,CB,CB,Brazil,28,183,75,Paris Saint-Germain,170000,177100000,CB,2024,5,2013,Right,-,-
K. Navas,Keylor Navas,88,88,10000000,GK,GK,Costa Rica,35,185,80,Paris Saint-Germain,85000,18500000,SUB,2024,1,2019,Right,-,-
M. ter Stegen,Marc-André ter Stegen,88,89,68500000,GK,GK,Germany,30,187,85,FC Barcelona,210000,145600000,GK,2025,1,2014,Right,SUB,12
T. Kroos,Toni Kroos,88,88,72000000,CM,CM,Germany,32,183,76,Real Madrid CF,310000,147600000,CM,2023,8,2014,Right,-,-
L. Modrić,Luka Modrić,88,88,29000000,CM,CM,Croatia,36,172,66,Real Madrid CF,230000,59500000,CM,2023,10,2012,Right,CM,10
A. Rüdiger,Antonio Rüdiger,87,88,73500000,CB,CB,Germany,29,190,85,Real Madrid CF,250000,156200000,CB,2026,22,2022,Right,CB,2
Rodri,Rodrigo Hernández Cascante,87,89,88500000,CDM,CDM,Spain,26,191,82,Manchester City,200000,170400000,CDM,2027,16,2019,Right,SUB,16
Fabinho,Fábio Henrique Tavares,87,88,77000000,"CDM,CB",CDM,Brazil,28,188,78,Liverpool,185000,148200000,CDM,2026,3,2018,Right,-,-
H. Lloris,Hugo Lloris,87,87,9000000,GK,GK,France,35,188,82,Tottenham Hotspur,80000,17100000,GK,2024,1,2012,Left,GK,1
T. Müller,Thomas Müller,87,87,63000000,"CAM,CF",CAM,Germany,32,185,76,FC Bayern München,115000,104000000,CAM,2024,25,2008,Right,CAM,13
De Gea,David De Gea Quintana,87,87,42000000,GK,GK,Spain,31,192,76,Manchester United,150000,79800000,GK,2023,1,2011,Right,SUB,1
M. Verratti,Marco Verratti,87,87,77500000,"CM,CAM",CM,Italy,29,165,60,Paris Saint-Germain,155000,143400000,CM,2024,6,2012,Right,CM,6
M. Maignan,Mike Maignan,87,90,80000000,GK,GK,France,26,191,89,AC Milan,90000,142000000,GK,2026,16,2021,Right,SUB,16
T. Alexander-Arnold,Trent Alexander-Arnold,87,90,100500000,RB,CM,England,23,180,69,Liverpool,150000,193500000,RB,2025,66,2015,Right,-,-
A. Robertson,Andrew Robertson,87,87,72000000,LB,LB,Scotland,28,178,64,Liverpool,185000,133199999,LB,2026,26,2017,Left,LWB,3
K. Koulibaly,Kalidou Koulibaly,87,87,54500000,CB,CB,Senegal,31,187,89,Chelsea,175000,100800000,CB,2026,26,2022,Right,-,-
L. Goretzka,Leon Goretzka,87,88,91000000,"CM,CDM",CM,Germany,27,189,82,FC Bayern München,115000,157000000,CDM,2026,8,2018,Right,SUB,8
F. de Jong,Frenkie de Jong,87,92,116500000,CM,CM,Netherlands,25,180,74,FC Barcelona,230000,247600000,CM,2026,21,2019,Right,CDM,21
Thiago,Thiago Alcântara,86,86,55500000,CM,CM,Spain,31,174,70,Liverpool,180000,102700000,CM,2024,6,2020,Right,-,-
C. Immobile,Ciro Immobile,86,86,55000000,ST,ST,Italy,32,185,85,Lazio,100000,93500000,ST,2025,17,2016,Right,ST,17
R. Lukaku,Romelu Lukaku,86,86,68000000,ST,ST,Belgium,29,191,94,Inter,200000,0,ST,2023,90,2021,Left,ST,9
D. Alaba,David Alaba,86,86,55500000,CB,CB,Austria,30,180,78,Real Madrid CF,220000,113800000,CB,2026,4,2021,Left,LB,8
R. Sterling,Raheem Sterling,86,86,72500000,"LW,RW",LW,England,27,170,69,Chelsea,195000,134100000,ST,2027,17,2022,Right,LW,7
R. Mahrez,Riyad Mahrez,86,86,56500000,"RW,RM",RW,Algeria,31,179,67,Manchester City,220000,104500000,SUB,2025,26,2018,Left,-,-
P. Dybala,Paulo Dybala,86,86,69500000,"CF,CAM",CAM,Argentina,28,177,75,Roma,130000,118200000,RF,2025,21,2022,Left,SUB,21
Thiago Silva,Thiago Emiliano da Silva,86,86,12000000,CB,CB,Brazil,37,183,79,Chelsea,115000,22200000,CB,2023,6,2020,Right,-,-
W. Szczęsny,Wojciech Szczęsny,86,86,33500000,GK,GK,Poland,32,195,90,Juventus,125000,57000000,RES,2024,1,2017,Right,GK,1
K. Trapp,Kevin Trapp,86,86,36000000,GK,GK,Germany,31,189,84,Eintracht Frankfurt,43000,61200000,GK,2024,1,2019,Right,SUB,22
Bruno Fernandes,Bruno Miguel Borges Fernandes,86,86,72500000,"CAM,CM",CAM,Portugal,27,179,69,Manchester United,190000,137800000,CAM,2026,8,2020,Right,CM,11
Parejo,Daniel Parejo Muñoz,86,86,42000000,CM,CM,Spain,33,182,74,Villarreal CF,64000,88200000,CM,2024,10,2020,Right,-,-
A. Laporte,Aymeric Laporte,86,87,64500000,CB,CB,Spain,28,191,85,Manchester City,195000,124200000,CB,2025,14,2018,Left,CB,15
K. Coman,Kingsley Coman,86,87,80000000,LM,LM,France,26,179,75,FC Bayern München,105000,138000000,RM,2027,11,2015,Right,RM,11
M. Brozović,Marcelo Brozović,86,86,58000000,"CDM,CM",CDM,Croatia,29,181,68,Inter,110000,95700000,CDM,2026,77,2016,Right,CDM,11
N. Barella,Nicolò Barella,86,89,89500000,CM,CM,Italy,25,172,68,Inter,110000,154400000,CM,2026,23,2020,Right,CM,18
L. Martínez,Lautaro Martínez,86,90,98500000,ST,ST,Argentina,24,174,72,Inter,110000,169900000,ST,2026,10,2018,Right,ST,22
M. Škriniar,Milan Škriniar,86,87,68500000,CB,CB,Slovakia,27,188,80,Inter,105000,118200000,CB,2023,37,2017,Right,-,-
C. Nkunku,Christopher Nkunku,86,89,94000000,"CF,CAM,ST",CAM,France,24,175,73,RB Leipzig,90000,166900000,CAM,2024,18,2019,Right,SUB,12
É. Mendy,Édouard Mendy,86,87,51000000,GK,GK,Senegal,30,197,86,Chelsea,130000,98200000,GK,2025,16,2020,Right,-,-
Vinícius Jr.,Vinícius José de Oliveira Júnior,86,92,109000000,LW,LW,Brazil,21,176,73,Real Madrid CF,200000,245300000,LW,2025,20,2018,Right,-,-
S. Milinković-Savić,Sergej Milinković-Savić,86,87,77500000,CM,CM,Serbia,27,191,76,Lazio,90000,137600000,CM,2024,21,2015,Right,-,-
N. Süle,Niklas Süle,85,87,59000000,"CB,RB",CB,Germany,26,195,99,Borussia Dortmund,72000,104700000,SUB,2026,25,2022,Right,CB,15
N. Fekir,Nabil Fekir,85,85,54500000,CAM,CAM,France,28,173,75,Real Betis Balompié,48000,114500000,CAM,2026,8,2019,Left,-,-
S. Gnabry,Serge Gnabry,85,85,59000000,RM,RM,Germany,26,176,77,FC Bayern München,100000,97400000,SUB,2026,7,2017,Right,SUB,10
İ. Gündoğan,İlkay Gündoğan,85,85,44000000,"CM,CDM",CM,Germany,31,180,80,Manchester City,185000,81400000,CM,2023,8,2016,Right,CDM,21
K. Walker,Kyle Walker,85,85,37500000,RB,RB,England,32,183,83,Manchester City,170000,69400000,RB,2024,2,2017,Right,RB,2
P. Aubameyang,Pierre-Emerick Aubameyang,85,85,34500000,ST,ST,Gabon,33,187,80,Chelsea,180000,63800000,SUB,2024,9,2022,Right,-,-
Jordi Alba,Jordi Alba Ramos,85,85,28000000,LB,LB,Spain,33,170,68,FC Barcelona,190000,57400000,LB,2024,18,2012,Left,LB,18
Sergio Busquets,Sergio Busquets Burgos,85,85,26500000,CDM,CDM,Spain,33,189,76,FC Barcelona,190000,54300000,CDM,2023,5,2008,Right,CDM,5
Iago Aspas,Iago Aspas Juncal,85,85,26000000,ST,ST,Spain,34,176,67,RC Celta de Vigo,50000,54600000,ST,2025,10,2015,Left,-,-
P. Pogba,Paul Pogba,85,85,52500000,"CM,CDM,LM",CM,France,29,191,84,Juventus,165000,89300000,SUB,2026,10,2022,Right,CDM,6
M. Depay,Memphis Depay,85,85,55000000,"CF,ST,LW",CF,Netherlands,28,176,78,FC Barcelona,230000,112800000,SUB,2023,14,2021,Right,ST,10
Jorginho,Luiz Frello Filho Jorge,85,85,51500000,CM,CM,Italy,30,180,68,Chelsea,165000,95300000,CM,2023,5,2018,Right,CM,8
M. Acuña,Marcos Acuña,85,85,46500000,LB,LB,Argentina,30,172,69,Sevilla FC,46000,97700000,LB,2024,19,2020,Left,LB,8
Gerard Moreno,Gerard Moreno Balagueró,85,85,53000000,ST,ST,Spain,30,180,77,Villarreal CF,64000,111300000,ST,2027,7,2018,Left,SUB,9
Y. Carrasco,Yannick Carrasco,85,85,54500000,LM,LM,Belgium,28,181,73,Atlético de Madrid,90000,111700000,LM,2024,21,2020,Right,LM,11
F. Kostić,Filip Kostić,85,85,53000000,"LM,LWB",LM,Serbia,29,184,84,Juventus,165000,90100000,LW,2026,17,2022,Left,-,-
J. Vardy,Jamie Vardy,85,85,23000000,ST,ST,England,35,179,74,Leicester City,110000,43700000,ST,2024,9,2012,Right,-,-
Pedri,Pedro González López,85,93,116000000,CM,CM,Spain,19,174,61,FC Barcelona,115000,261000000,CM,2026,8,2020,Right,CM,10
P. Foden,Phil Foden,85,92,109500000,"LW,CF,CAM",CAM,England,22,171,69,Manchester City,180000,224500000,LW,2024,47,2016,Left,RW,20
M. de Ligt,Matthijs de Ligt,85,89,71000000,CB,CB,Netherlands,22,189,89,FC Bayern München,77000,122500000,CB,2027,4,2022,Right,CB,3
P. Schick,Patrik Schick,85,87,67500000,ST,ST,Czech Republic,26,191,86,Bayer 04 Leverkusen,95000,119800000,ST,2027,14,2020,Left,SUB,6
T. Hernández,Theo Hernández,85,90,76000000,LB,LWB,France,24,184,81,AC Milan,82000,134900000,LB,2026,19,2019,Left,SUB,22
Diogo Jota,Diogo José Teixeira da Silva,85,89,76000000,"CF,LW",ST,Portugal,25,178,73,Liverpool,170000,146300000,SUB,2025,20,2020,Right,LW,19
P. Gulácsi,Péter Gulácsi,85,85,26500000,GK,GK,Hungary,32,191,86,RB Leipzig,65000,45100000,GK,2025,1,2015,Right,GK,1
Y. Sommer,Yann Sommer,85,85,17500000,GK,GK,Switzerland,33,183,79,Borussia Mönchengladbach,40000,29800000,GK,2023,1,2014,Right,-,-
M. Reus,Marco Reus,85,85,33500000,"CAM,CF,RM",CAM,Germany,33,180,71,Borussia Dortmund,78000,57000000,CAM,2023,11,2012,Right,SUB,11
L. Hernández,Lucas Hernández,84,86,46000000,"CB,LB",CB,France,26,184,79,FC Bayern München,82000,79400000,SUB,2024,21,2019,Left,CB,21
Sergio Ramos,Sergio Ramos García,84,84,7500000,CB,CB,Spain,36,184,82,Paris Saint-Germain,75000,13900000,CB,2023,4,2021,Right,SUB,4
A. Gómez,Alejandro Gómez,84,84,20000000,"CAM,LW",CAM,Argentina,34,167,68,Sevilla FC,47000,42000000,LW,2024,24,2021,Right,SUB,17
S. Handanovič,Samir Handanovič,84,84,4700000,GK,GK,Slovenia,37,193,92,Inter,46000,7800000,GK,2023,1,2012,Right,-,-
D. Mertens,Dries Mertens,84,84,18000000,"CF,ST,CAM",CF,Belgium,35,169,61,Galatasaray SK,86000,34200000,CF,2023,10,2022,Right,SUB,14
L. Suárez,Luis Suárez,84,84,18000000,ST,ST,Uruguay,35,182,86,Club Nacional de Football,1000,39600000,ST,2022,9,2022,Right,-,-
D. Tadić,Dušan Tadić,84,84,26500000,"LW,CF,CAM",LW,Serbia,33,181,76,Ajax,32000,37100000,RW,2024,10,2018,Left,-,-
D. Berardi,Domenico Berardi,84,84,45000000,"RM,RW",RM,Italy,27,183,72,U.S. Sassuolo Calcio,57000,76500000,SUB,2027,10,2012,Left,SUB,11
T. Partey,Thomas Partey,84,84,36000000,"CDM,CM",CDM,Ghana,29,185,77,Arsenal,115000,68400000,CDM,2024,5,2020,Right,CDM,6
Y. Bounou,Yassine Bounou,84,84,22500000,GK,GK,Morocco,31,192,78,Sevilla FC,34000,47300000,GK,2025,13,2020,Left,GK,1
H. Çalhanoğlu,Hakan Çalhanoğlu,84,84,42000000,CM,CM,Turkey,28,178,76,Inter,100000,69300000,CM,2024,20,2021,Right,-,-
M. Kovačić,Mateo Kovačić,84,84,42000000,CM,CM,Croatia,28,176,80,Chelsea,155000,77700000,SUB,2024,8,2019,Right,CM,8
J. Grealish,Jack Grealish,84,84,46000000,"LW,LM,CAM",LW,England,26,180,81,Manchester City,185000,85100000,SUB,2027,10,2021,Right,SUB,10
Carvajal,Daniel Carvajal Ramos,84,84,36500000,RB,RB,Spain,30,173,73,Real Madrid CF,185000,74800000,RB,2025,2,2013,Right,RB,20
S. Savić,Stefan Savić,84,84,29000000,CB,CB,Montenegro,31,187,80,Atlético de Madrid,74000,59500000,CB,2024,15,2015,Right,-,-
E. Martínez,Emiliano Martínez,84,84,29000000,GK,GK,Argentina,29,195,88,Aston Villa,95000,55100000,GK,2027,1,2020,Right,GK,23
R. Varane,Raphaël Varane,84,85,39000000,CB,CB,France,29,191,81,Manchester United,155000,77000000,CB,2025,19,2021,Right,CB,4
W. Ben Yedder,Wissam Ben Yedder,84,84,35500000,ST,CF,France,31,170,68,AS Monaco,88000,67500000,ST,2024,10,2019,Right,SUB,9
L. Insigne,Lorenzo Insigne,84,84,35000000,"LW,CF,LM",CAM,Italy,31,163,59,Toronto FC,19000,52500000,LW,2026,24,2022,Right,LW,10
M. Hummels,Mats Hummels,84,84,20000000,"CB,RB,RW",CB,Germany,33,191,94,Borussia Dortmund,66000,34000000,CB,2023,15,2019,Right,-,-
S. de Vrij,Stefan de Vrij,84,84,34500000,CB,CB,Netherlands,30,189,78,Inter,88000,56900000,CB,2023,6,2018,Right,SUB,12
J. Matip,Joel Matip,84,84,34500000,CB,CB,Cameroon,30,194,90,Liverpool,140000,63800000,CB,2024,32,2016,Right,-,-
K. Casteels,Koen Casteels,84,85,31500000,GK,GK,Belgium,30,197,86,VfL Wolfsburg,55000,55900000,GK,2024,1,2015,Left,SUB,13
Canales,Sergio Canales Madrazo,84,84,35000000,"RM,CAM,CDM",RM,Spain,31,176,65,Real Betis Balompié,42000,73500000,RM,2026,10,2018,Left,-,-
Muniain,Iker Muniain Goñi,84,84,41500000,"LM,CAM",LM,Spain,29,170,66,Athletic Club de Bilbao,49000,87200000,CAM,2024,10,2009,Right,-,-
K. Trippier,Kieran Trippier,84,84,30500000,"RB,RM",RB,England,31,173,71,Newcastle United,120000,58000000,RB,2024,2,2022,Right,SUB,12
L. Bonucci,Leonardo Bonucci,84,84,11000000,CB,CB,Italy,35,190,85,Juventus,95000,18700000,CB,2024,19,2018,Right,CB,19
Á. Di María,Ángel Di María,84,84,20000000,RW,RW,Argentina,34,180,69,Juventus,160000,34000000,RW,2023,22,2022,Left,LW,11
E. Hazard,Eden Hazard,84,84,35000000,LW,LW,Belgium,31,175,74,Real Madrid CF,220000,71800000,SUB,2024,7,2019,Right,LF,10
I. Perišić,Ivan Perišić,84,84,26500000,"LM,LWB",LM,Croatia,33,186,80,Tottenham Hotspur,130000,50400000,SUB,2024,14,2022,Right,LM,4
E. Džeko,Edin Džeko,84,84,14500000,ST,ST,Bosnia and Herzegovina,36,193,80,Inter,80000,23900000,SUB,2023,9,2021,Right,-,-
G. Chiellini,Giorgio Chiellini,84,84,7500000,CB,CB,Italy,37,187,85,Los Angeles FC,11000,11300000,CB,2023,14,2022,Left,-,-
R. De Paul,Rodrigo Javier De Paul,84,84,42000000,CM,CM,Argentina,28,180,70,Atlético de Madrid,85000,86100000,CM,2026,5,2021,Right,CM,7
J. Bellingham,Jude Bellingham,84,91,81500000,"CM,LM",CM,England,19,186,75,Borussia Dortmund,41000,154900000,CDM,2025,22,2020,Right,SUB,26
F. Chiesa,Federico Chiesa,84,90,66500000,LW,RM,Italy,24,175,70,Juventus,140000,126400000,SUB,2025,7,2022,Right,RW,14
M. Diaby,Moussa Diaby,84,88,61500000,"RM,LM,LW",RM,France,22,171,67,Bayer 04 Leverkusen,70000,109200000,RM,2025,19,2019,Left,-,-
J. Tartt,Jamie Tartt,84,91,85500000,ST,CAM,England,24,178,84,AFC Richmond,78000,179600000,ST,2025,9,2020,Right,-,-
Rafael Leão,Rafael da Conceição Leão,84,90,66500000,"LW,LM",LW,Portugal,23,188,81,AC Milan,90000,126400000,LW,2024,17,2019,Right,SUB,15
J. Koundé,Jules Koundé,84,89,57500000,"CB,RB",CB,France,23,181,75,FC Barcelona,150000,122200000,RB,2027,23,2022,Right,SUB,5
Y. Tielemans,Youri Tielemans,84,86,52500000,"CM,CDM",CM,Belgium,25,176,72,Leicester City,115000,103700000,CM,2023,8,2019,Right,CM,8
S. Tonali,Sandro Tonali,84,90,62500000,"CDM,CM",CDM,Italy,22,181,79,AC Milan,75000,118800000,CM,2027,8,2021,Right,-,-
L. Díaz,Luis Díaz,84,87,56000000,"LW,LM",RM,Colombia,25,180,73,Liverpool,155000,107800000,LW,2027,23,2022,Right,-,-
Éder Militão,Éder Gabriel Militão,84,89,57500000,CB,CB,Brazil,24,186,78,Real Madrid CF,160000,122200000,SUB,2025,3,2019,Right,-,-
F. Valverde,Federico Valverde,84,90,66000000,"CM,RW",CM,Uruguay,23,182,78,Real Madrid CF,175000,148500000,SUB,2027,15,2016,Right,-,-
L. Sané,Leroy Sané,84,85,49500000,LM,LM,Germany,26,183,80,FC Bayern München,90000,85400000,LM,2025,10,2020,Left,LM,19
R. James,Reece James,84,88,57000000,"RWB,RB",RWB,England,22,178,87,Chelsea,120000,109700000,RWB,2025,24,2017,Right,SUB,3
A. Bastoni,Alessandro Bastoni,84,90,60500000,CB,CB,Italy,23,190,75,Inter,75000,111900000,CB,2024,95,2017,Left,CB,23
K. Havertz,Kai Havertz,84,91,84500000,"CAM,CF,ST",CAM,Germany,23,189,82,Chelsea,130000,173200000,LW,2025,29,2020,Left,SUB,7
João Félix,João Félix Sequeira,84,90,68500000,"CF,ST",CAM,Portugal,22,181,72,Atlético de Madrid,78000,154100000,ST,2026,7,2019,Right,SUB,23
A. Hakimi,Achraf Hakimi,84,87,53500000,"RB,RWB",RB,Morocco,23,181,73,Paris Saint-Germain,90000,103000000,RWB,2026,2,2021,Right,RB,2
A. Davies,Alphonso Davies,84,89,60500000,"LB,LM",LM,Canada,21,185,77,FC Bayern München,59000,104400000,LB,2025,19,2019,Left,LW,19
D. Rice,Declan Rice,84,87,52000000,CDM,CDM,England,23,185,80,West Ham United,83000,102700000,CDM,2024,41,2016,Right,CM,4
M. Mount,Mason Mount,84,87,57500000,"CAM,RW",CAM,England,23,180,74,Chelsea,130000,110700000,RW,2024,19,2016,Right,CAM,19
J. Sancho,Jadon Sancho,84,88,61500000,"LW,RW,LM",CAM,England,22,180,76,Manchester United,155000,121500000,LM,2026,25,2021,Right,SUB,17
F. Tomori,Fikayo Tomori,84,90,60500000,CB,CB,England,24,185,79,AC Milan,75000,115000000,CB,2027,23,2021,Right,-,-
F. Kessié,Franck Yannick Kessié,84,86,47500000,"CDM,CM",CDM,Côte d'Ivoire,25,183,88,FC Barcelona,165000,100900000,SUB,2026,19,2022,Right,-,-
Oyarzabal,Mikel Oyarzabal Ugarte,84,86,53000000,"LW,RW",LW,Spain,25,181,79,Real Sociedad,57000,115300000,SUB,2024,10,2014,Left,LW,21
L. Pellegrini,Lorenzo Pellegrini,84,87,55000000,"CAM,CM",CAM,Italy,26,186,77,Roma,95000,97600000,CM,2026,7,2017,Right,SUB,7
W. Ndidi,Wilfred Ndidi,84,86,47500000,"CDM,CM",CB,Nigeria,25,183,74,Leicester City,105000,93800000,CDM,2024,25,2017,Right,-,-
Marcos Llorente,Marcos Llorente Moreno,84,85,48000000,"CM,RM,RB",CAM,Spain,27,184,74,Atlético de Madrid,81000,102000000,SUB,2027,14,2019,Right,SUB,6
M. Ødegaard,Martin Ødegaard,84,89,63500000,"CAM,CM",CAM,Norway,23,178,68,Arsenal,105000,125400000,CAM,2026,8,2021,Left,CM,10
D. Vlahović,Dušan Vlahović,84,91,86500000,ST,ST,Serbia,22,190,75,Juventus,140000,164400000,ST,2026,9,2022,Left,-,-
Diego Carlos,Diego Carlos Santos Silva,83,83,30500000,CB,CB,Brazil,29,186,79,Aston Villa,105000,58000000,SUB,2026,3,2022,Right,-,-
Angeliño,José Ángel Esmoris Tasende,83,85,42000000,"LWB,LM",LM,Spain,25,171,69,TSG Hoffenheim,64000,0,LWB,2023,11,2021,Left,-,-
O. Dembélé,Ousmane Dembélé,83,86,48000000,"RW,LW",LM,France,25,178,67,FC Barcelona,180000,102000000,RW,2024,7,2017,Left,-,-
Marco Asensio,Marco Asensio Willemsen,83,84,43000000,RW,RW,Spain,26,182,76,Real Madrid CF,200000,91400000,SUB,2023,11,2015,Left,-,-
Rúben Neves,Rúben Diogo da Silva Neves,83,86,47500000,"CM,CDM",CM,Portugal,25,180,80,Wolverhampton Wanderers,105000,93800000,CDM,2024,8,2017,Right,CDM,18
Merino,Mikel Merino Zazón,83,86,47000000,CM,CM,Spain,26,189,83,Real Sociedad,49000,102200000,CM,2025,8,2018,Left,-,-
K. Laimer,Konrad Laimer,83,84,38500000,"CDM,CM",CDM,Austria,25,180,72,RB Leipzig,64000,68300000,SUB,2023,27,2017,Right,RM,20
P. Kimpembe,Presnel Kimpembe,83,86,42000000,CB,CB,France,26,189,80,Paris Saint-Germain,95000,80900000,RES,2024,3,2015,Left,SUB,3
Fabián,Fabián Ruiz Peña,83,85,44500000,"CM,CDM",CM,Spain,26,189,70,Paris Saint-Germain,105000,85700000,SUB,2027,8,2022,Left,-,-
F. Mendy,Ferland Mendy,83,84,38000000,LB,LB,France,27,180,73,Real Madrid CF,170000,80800000,LB,2025,23,2019,Left,-,-
Ronaldo Cabrais,Ronaldo Jailson Cabrais Petri,83,83,35000000,"CAM,RM",RM,Brazil,30,177,75,Palmeiras,59000,63000000,RM,2025,10,2022,Right,RM,7
Gabriel Jesus,Gabriel Fernando de Jesus,83,86,48500000,"ST,RW",ST,Brazil,25,175,73,Arsenal,115000,95800000,ST,2027,9,2022,Right,-,-
Unai Simón,Unai Simón Mendibil,83,86,37000000,GK,GK,Spain,25,190,89,Athletic Club de Bilbao,30000,80500000,GK,2025,1,2015,Right,GK,23
V. Osimhen,Victor Osimhen,83,89,58000000,ST,ST,Nigeria,23,185,78,Napoli,72000,110200000,SUB,2025,9,2020,Right,-,-
P. Højbjerg,Pierre-Emile Højbjerg,83,85,40500000,"CDM,CM",CDM,Denmark,26,187,84,Tottenham Hotspur,110000,80000000,CM,2025,5,2020,Right,CM,23
C. Romero,Cristian Romero,83,88,49500000,CB,CB,Argentina,24,185,79,Tottenham Hotspur,95000,97800000,CB,2027,17,2022,Right,CB,13
Raphinha,Raphael Dias Belloli,83,86,48000000,"RW,RM",LM,Brazil,25,176,68,FC Barcelona,180000,102000000,SUB,2027,22,2022,Left,-,-
Carlos Soler,Carlos Soler Barragán,83,88,53000000,"CM,RM,CDM",CM,Spain,25,180,76,Paris Saint-Germain,100000,102000000,SUB,2027,28,2022,Right,SUB,17
G. Kobel,Gregor Kobel,83,88,44000000,GK,GK,Switzerland,24,195,88,Borussia Dortmund,40000,78100000,GK,2026,1,2021,Right,-,-
Pau Torres,Pau Francisco Torres,83,89,50500000,CB,CB,Spain,25,191,80,Villarreal CF,43000,116200000,CB,2024,4,2016,Left,SUB,12
C. Gakpo,Cody Gakpo,83,87,52000000,LW,RM,Netherlands,23,189,76,PSV,29000,76700000,LW,2026,11,2016,Right,SUB,9
R. Araujo,Ronald Araujo,83,89,52000000,"CB,RB",CB,Uruguay,23,192,91,FC Barcelona,135000,117000000,CB,2026,4,2018,Right,-,-
R. Kent,Roy Kent,83,83,0,"CDM,CM",CDM,England,40,182,82,AFC Richmond,45000,0,CM,2024,6,2018,Left,-,-
D. Zapata,Duván Zapata,83,83,30500000,ST,ST,Colombia,31,189,88,Atalanta,77000,51900000,SUB,2024,91,2020,Right,-,-
